Active,Distressed,Interested,Inspired,Annoyed,Strong,Guilty,Scared,Hostile,Excited,Proud,Irritable,Enthusiastic,Ashamed,Alert,Nervous,Determined,Attentive,Jittery,Afraid,Stressed,Frustrated,Happy,(Angry),(Irritated),Sad,stage
2,1,3,1,1,1,1,1,1,2,1,1,2,1,3,2,1,2,1,1,1,1,2,1,,,Base
2,1,3,4,1,2,1,1,1,3,1,1,3,1,2,1,2,4,1,1,1,1,4,1,,,Fun
1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,,,Medi 1
4,4,3,1,3,1,1,4,2,4,1,3,2,4,4,5,1,4,4,2,4,3,1,2,3,1,TSST
2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,2,1,2,1,,,Medi 2
1,1,3,2,1,1,1,1,1,1,1,1,2,1,4,1,1,3,1,1,1,1,1,1,,,Base
4,1,4,2,1,3,1,3,1,3,3,2,1,1,4,4,4,5,2,2,3,1,1,1,2,1,TSST
2,1,4,3,2,4,1,1,1,3,1,1,3,1,3,1,2,4,1,1,1,1,4,1,,,Medi 1
1,1,3,4,1,1,1,1,1,2,1,1,4,1,2,1,1,4,1,1,1,1,4,1,,,Fun
2,1,3,3,1,2,1,1,1,3,1,1,3,1,2,1,2,3,1,1,1,1,3,1,,,Medi 2
1,1,4,1,1,1,1,1,1,3,1,1,2,1,3,2,2,4,2,1,2,1,2,1,,,Base
1,1,3,4,1,1,1,1,1,3,1,1,2,1,4,1,1,4,1,1,1,1,3,1,,,Fun
1,1,2,2,1,1,1,1,1,2,1,1,2,1,2,1,1,3,1,1,1,1,4,1,,,Medi 1
5,2,4,1,2,1,2,3,1,3,1,2,1,3,5,5,4,5,3,2,5,3,1,2,3,1,TSST
1,2,1,1,2,1,2,1,1,1,1,3,1,3,2,3,2,2,3,1,3,4,1,1,,,Medi 2
1,1,3,1,1,3,1,1,1,1,1,1,2,1,3,1,3,3,1,1,1,1,3,1,,,Base
4,1,3,1,1,3,1,3,1,4,3,1,2,1,5,4,4,5,1,1,4,2,3,1,2,1,TSST
1,1,3,1,1,3,1,1,1,3,3,1,2,1,3,2,3,4,1,1,2,1,3,1,,,Medi 2
1,1,3,2,1,3,1,1,1,2,3,1,2,1,3,1,1,4,1,1,1,1,3,1,,,Fun
1,1,3,1,1,3,1,1,1,1,3,1,3,1,4,1,1,4,1,1,1,1,3,1,,,Medi 1
2,1,3,2,1,2,1,1,1,2,2,1,2,1,4,3,3,4,2,2,2,1,2,1,,,Base
2,1,3,3,1,1,1,1,1,4,2,1,3,1,4,3,1,4,1,2,1,1,4,1,,,Fun
1,1,2,3,1,1,1,1,1,2,2,1,2,1,2,1,1,3,1,1,1,1,3,1,,,Medi 1
4,3,2,1,2,2,3,2,2,5,2,3,2,2,4,4,4,4,3,2,4,3,1,1,1,1,TSST
2,1,2,3,1,1,1,1,1,2,2,1,2,1,2,1,1,2,1,1,1,1,3,1,,,Medi 2
2,1,3,2,1,2,1,1,1,3,2,1,3,1,2,2,3,3,1,1,1,1,3,1,,,Base
4,3,3,2,2,1,2,3,1,3,2,2,2,3,4,5,3,4,3,4,5,3,2,2,3,1,TSST
2,1,2,2,1,2,1,1,1,1,1,1,3,1,1,1,3,2,2,1,1,1,4,1,,,Medi 1
1,2,3,3,1,2,1,2,1,3,1,1,3,2,2,2,2,4,2,1,1,1,3,1,,,Fun
1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,,,Medi 2
2,1,4,1,1,1,1,1,1,2,1,1,2,1,3,1,1,4,1,1,2,1,3,1,,,Base
3,1,4,4,1,1,1,1,1,3,1,1,4,1,4,1,1,4,1,1,1,1,3,1,,,Fun
1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,3,1,,,Medi 1
5,2,1,1,5,2,1,5,4,5,1,5,1,2,4,5,3,3,4,2,5,5,1,5,5,1,TSST
4,1,2,1,1,1,1,1,1,3,1,2,2,1,4,2,1,3,3,1,3,1,1,1,,,Medi 2
1,1,3,2,1,3,1,1,1,2,2,2,2,1,4,3,4,4,2,2,2,1,2,1,,,Base
3,2,4,1,3,3,1,2,1,4,2,4,3,1,5,4,4,4,2,3,3,3,2,1,3,1,TSST
1,1,2,3,1,2,1,1,1,1,1,1,3,1,2,1,2,3,1,1,1,1,4,1,,,Medi 1
1,1,2,3,1,1,1,1,1,1,1,1,2,1,4,1,1,3,1,1,1,2,3,1,,,Fun
1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,3,1,,,Medi 2
3,1,5,3,1,4,3,1,1,4,3,1,3,2,4,2,3,4,2,1,1,1,4,1,,,Base
4,4,5,3,1,3,1,4,1,5,3,1,3,4,4,5,4,4,3,4,4,4,2,1,3,1,TSST
1,3,2,2,1,1,1,1,1,1,2,1,2,1,3,1,2,2,1,1,1,2,3,1,,,Medi 1
4,1,5,5,1,3,2,1,1,4,2,1,5,3,4,1,3,4,3,1,1,1,4,1,,,Fun
3,1,2,1,1,2,1,1,1,1,1,2,1,1,3,1,1,2,1,1,2,1,3,1,,,Medi 2
1,2,3,2,2,1,1,1,1,1,1,2,1,1,3,1,1,2,1,1,1,2,2,1,,,Base
1,1,4,4,1,1,1,1,1,3,1,1,3,1,3,1,1,4,1,1,1,1,3,1,,,Fun
1,1,1,1,2,1,1,1,3,2,1,3,1,1,1,1,1,2,1,1,1,3,2,1,,,Medi 1
4,2,2,1,1,1,1,1,1,2,1,1,1,1,4,4,3,4,2,1,2,3,1,2,4,1,TSST
1,2,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,3,1,,,Medi 2
1,1,4,3,1,3,1,1,1,4,1,1,4,1,4,2,4,4,1,1,2,1,3,1,,,Base
1,1,3,3,1,2,1,1,1,3,1,1,1,1,3,1,1,3,1,1,2,1,2,1,,,Fun
1,1,3,1,1,3,1,1,1,1,1,1,1,1,2,Nan,3,3,1,1,1,1,4,1,,,Medi 1
5,1,4,2,2,3,1,2,1,5,1,1,1,1,5,4,3,4,3,1,4,1,2,1,2,1,TSST
1,1,3,2,1,2,1,1,1,2,1,1,2,1,2,1,2,2,1,1,1,1,4,1,,,Medi 2
2,1,5,4,1,4,1,2,1,4,3,1,4,1,4,1,3,4,2,1,2,1,4,1,,,Base
5,1,4,4,1,4,1,2,1,4,4,2,3,1,5,3,4,4,2,2,2,1,4,1,1,1,TSST
1,1,2,2,1,3,1,1,1,3,3,1,2,1,3,2,3,3,2,2,1,1,4,1,,,Medi 1
2,1,4,4,1,3,1,3,1,3,2,1,4,1,4,2,2,4,3,2,1,2,4,1,,,Fun
2,1,3,4,1,4,1,1,1,4,3,1,3,1,3,1,4,3,1,1,1,1,5,1,,,Medi 2
1,1,4,3,1,2,1,1,1,1,2,1,3,1,5,1,2,4,1,1,1,1,4,1,,,Base
2,1,4,5,1,2,1,1,1,2,1,1,5,1,5,1,1,4,1,1,1,1,4,1,,,Fun
1,1,2,1,1,2,1,1,1,1,1,1,2,1,3,1,2,3,2,1,1,1,3,1,,,Medi 1
3,2,3,2,2,3,1,1,1,3,2,1,2,2,5,3,3,4,3,2,3,3,2,1,4,1,TSST
1,2,2,3,1,2,1,1,1,1,1,1,2,1,2,1,2,3,2,1,1,1,3,1,,,Medi 2
1,2,3,3,1,3,1,1,1,3,1,1,3,2,4,3,3,4,3,1,2,2,1,1,,,Base
1,1,2,3,1,1,1,1,1,2,1,1,2,1,3,2,1,3,2,1,1,1,2,1,,,Fun
2,2,2,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,1,2,1,2,1,,,Medi 1
2,2,3,3,1,2,1,2,1,3,2,1,2,2,4,4,5,4,2,2,3,3,1,1,1,1,TSST
1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,,,Medi 2
2,1,3,2,1,3,1,2,1,2,2,2,2,1,3,2,4,4,1,2,2,1,4,1,,,Base
4,2,5,4,1,2,1,2,1,3,2,1,4,1,4,3,3,5,3,1,2,2,3,1,2,1,TSST
1,1,2,2,1,2,1,1,1,2,2,1,2,1,2,1,2,2,1,1,1,1,4,1,,,Medi 1
2,1,2,3,1,2,1,1,2,2,2,1,2,1,3,1,3,3,1,1,1,1,3,1,,,Fun
1,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,1,1,1,1,4,1,,,Medi 2
